timestamp, utilization.gpu [%], utilization.memory [%]
2024/11/15 09:25:57.190, 0 %, 0 %
2024/11/15 09:25:58.199, 0 %, 0 %
2024/11/15 09:25:59.199, 0 %, 0 %
2024/11/15 09:26:00.199, 3 %, 0 %
