timestamp, utilization.gpu [%], utilization.memory [%]
2024/11/18 15:07:58.202, 0 %, 0 %
2024/11/18 15:07:59.212, 0 %, 0 %
2024/11/18 15:08:00.212, 0 %, 0 %
2024/11/18 15:08:01.213, 0 %, 0 %
