timestamp, utilization.gpu [%], utilization.memory [%]
2024/11/18 15:16:27.164, 0 %, 0 %
2024/11/18 15:16:28.173, 0 %, 0 %
2024/11/18 15:16:29.174, 0 %, 0 %
