timestamp, utilization.gpu [%], utilization.memory [%]
2024/11/18 13:56:21.450, 0 %, 0 %
2024/11/18 13:56:22.460, 0 %, 0 %
2024/11/18 13:56:23.461, 0 %, 0 %
2024/11/18 13:56:24.461, 0 %, 0 %
2024/11/18 13:56:25.461, 3 %, 0 %
